DB 10DBW 14 BACKWARD PRESS,DB 1260DBD 100 TOOL SLIDE POSITION,DB 13DBW 2,DB 30DBW 140 DISCHARGER POSITION,DB 30DBW 20 ramposition,DB 30DBW 80 v cont position,DB 371DBW 44 setpoint pump,MW 970,DB 10DBW 232,DB 10DBW 8 billet length,DB 400DBD 38 z3 energy,MD 280 C start to setpoint,MD 284 C ana kw,T 174,T 175,T 176,C 21,C 23,C 24,C 25,C 26,DB 10DBW 178 CAF Actual Temperature Combustion air fan,DB 10DBW 182 EGS_Temperature,DB 20DBW 140 SETPOINT Z1,DB 20DBW 142 SETPOINT Z2,DB 20DBW 174 EXTRACTION STEP,MW 380,DB 200DBW 0 tank1 temp,DB 200DBW 2 tank2 temp,DB 200DBW 4 tank1 level,DB 200DBW 8 actual press,DB 20DBD 292,T 227,T 229,DB 1DBW 2,DB 70DBD 0 ΘΕΡΜ ΚΟΛΕΚΤΕΡ ΨΥΓΕΙΩΝ (ΝΕΡΟ ΑΠΟ ΠΥΡΓΟΥΣ ΨΥΞ),DB 70DBD 16 PIESI PSIXIS ASMAK,DB 70DBD 4 ΘΕΡΜ ΚΟΛΕΚΤΕΡ ΨΥΓΕΙΩΝ (ΝΕΡΟ ΑΠΟ ΔΕΞΑΜΕΝΗ),DB 70DBD 68 4 INCH COOLING ACT POSITION,DB 70DBW 36 REF KANONI 1,DB 70DBW 38 REF KANONI 2,DB 75DBD 28,MD 210,MD 214,MD 70 sinolo ypog-mpanioy,T 0,C 22_Junker2,C 23_Junker2,C 24_Junker2,C 25_Junker2,is_low_usage,is_low_usage_next,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,Energy
3.6,403.394,1154.4666666666667,75.93333333333334,793.5333333333333,19.2,971.6,14.733333333333333,304.7333333333333,810.0,27924.93,102.2,145.98,1063.3333333333333,915.3333333333334,1024.6666666666667,3.333333333333333,5.2,4.466666666666667,4.066666666666666,2.0,74.56472503531292,86.46666666666667,4.655222772869293,9.587457205103592,1.4,1400.0,21.0,29.73333333333333,2223.8,46.66666666666666,288358.4,3426.6666666666665,0.0,0.0,23.75933333333333,0.5446666666666666,29.326,1.504,69.53333333333333,0.0,0.0,134.0,0.0,2773.266666666667,613.3333333333334,8.0,2.0,5.0,3.0,0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,140.13199999555945
2.1333333333333333,635.3093333333333,3002.2,260.0,1107.7333333333331,16.666666666666668,940.0,15.266666666666667,309.3333333333333,810.0,15378.929999999998,99.66666666666669,593.15,1032.0,899.3333333333334,1014.0,3.6666666666666665,4.8,4.533333333333333,3.933333333333333,2.0,-40.219397160573976,98.2,-149.20212358447705,-76.54716416481187,0.4,2780.0,21.0,32.266666666666666,2181.333333333333,27.6,362632.5333333333,1986.6666666666667,0.0,0.0,24.049333333333333,0.2553333333333333,28.654666666666667,1.504,69.4,0.0,0.0,26.666666666666668,0.0,2767.7726666666663,0.0,8.0,2.0,5.0,3.0,0,0.0,-0.7071067811865477,0.7071067811865474,0.0,1.0,191.2440000027418
2.466666666666667,762.2973333333334,1791.8666666666666,263.0,1410.8,22.066666666666663,806.0,14.866666666666667,169.86666666666667,810.0,26567.1,94.8,366.84,1050.6666666666667,940.0,1029.3333333333333,3.333333333333333,5.2,4.466666666666667,4.066666666666666,2.0,14.578778519954646,97.6,106.79882209293925,45.29952835835124,1.4,0.0,21.666666666666668,30.133333333333333,2176.0,6.0,270882.13333333336,2140.0,0.0,0.0,24.504,0.4533333333333333,29.81,1.5,69.46666666666667,0.0,0.0,0.0,0.0,2764.718,0.0,8.0,2.0,5.0,3.0,0,0.0,-0.7071067811865477,0.7071067811865474,0.0,1.0,179.94199999794364
14.666666666666666,635.3306666666666,-629.8666666666667,158.66666666666666,1349.6,20.066666666666663,858.6,14.533333333333331,32.0,810.0,47259.49,98.33333333333331,109.81,1030.6666666666667,1014.6666666666666,1036.6666666666667,3.0,5.6,4.4,4.2,2.0,35.01317963082634,88.2,-141.66627163686042,-127.93376666906144,0.0,600.0,22.666666666666668,31.0,2187.8,5.933333333333334,222822.4,7406.666666666667,119.33333333333331,0.0,24.854666666666667,0.6486666666666667,30.255333333333333,1.504,69.4,0.0,0.0,86.66666666666667,0.0,2760.786666666667,0.0,8.0,2.0,5.0,3.0,0,0.0,-0.7071067811865477,0.7071067811865474,0.0,1.0,164.8370000012219
1.7333333333333334,127.59466666666668,5.666666666666667,1.0,318.06666666666666,2.4,996.0,13.933333333333334,265.1333333333333,810.0,32310.46,102.26666666666668,410.87,1048.6666666666667,924.6666666666666,1033.3333333333333,2.333333333333333,6.4,4.266666666666667,4.466666666666667,2.0,-114.96765543824398,74.33333333333333,169.4651296415997,114.72389810625042,0.3333333333333333,-1400.0,23.0,30.266666666666666,2191.333333333333,20.53333333333333,205346.13333333333,1800.0,198.0,0.0,24.920666666666666,0.4539999999999999,30.304,1.5,69.13333333333334,0.0,0.0,146.66666666666666,0.0,2754.906,0.0,8.0,2.0,5.0,3.0,0,0.0,-0.7071067811865477,0.7071067811865474,0.0,1.0,113.19750000163911
1.7333333333333334,635.288,1533.6,260.0,909.8,17.733333333333334,984.4,14.066666666666666,172.06666666666666,810.0,44114.64,108.53333333333332,120.07,1032.6666666666667,970.0,1064.0,3.0,5.6,4.4,4.2,2.0,177.4946252005072,77.6,-174.09491488903305,-89.94109267638746,0.3333333333333333,600.0,23.933333333333334,30.866666666666667,2183.733333333333,15.466666666666669,152917.33333333334,1213.3333333333333,0.0,0.0,24.673333333333336,0.5533333333333332,30.46333333333333,1.5,69.13333333333334,0.0,0.0,0.0,0.0,2748.325333333333,0.0,8.0,2.0,5.0,3.0,0,0.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,163.5684999972582
4.6,508.048,1649.0,148.73333333333332,536.9333333333333,16.4,950.2666666666668,13.866666666666667,377.53333333333336,810.0,23448.0,100.73333333333332,240.29,1046.6666666666667,898.0,1032.0,2.6666666666666665,6.0,4.333333333333333,4.333333333333333,2.0,-99.698352845412,76.53333333333333,53.82030932030879,66.03259594435998,0.2,5173.333333333333,24.0,30.4,2152.866666666667,41.4,297096.5333333333,3846.6666666666665,0.0,0.0,24.537333333333333,0.158,29.73,1.5,69.4,0.0,0.0,113.33333333333331,0.0,2744.866666666667,0.0,8.0,2.0,5.0,3.0,0,0.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,138.867000002414
2.2666666666666666,381.41,1931.4,104.6,944.8,10.0,925.8,14.066666666666666,267.46666666666664,810.0,42661.77,105.2,140.51,1032.6666666666667,948.0,1030.6666666666667,3.6666666666666665,4.8,4.533333333333333,3.933333333333333,2.0,62.5655150949265,89.93333333333334,-21.35689147453906,-40.28524743230692,0.2666666666666666,5400.0,24.73333333333333,31.0,2141.266666666667,29.133333333333333,218453.3333333333,3813.3333333333335,0.0,0.0,24.326,0.4539999999999999,29.416,1.504,69.6,0.0,0.0,0.0,0.0,2738.6706666666664,0.0,8.0,2.0,5.0,3.0,0,0.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,190.3040000014007
1.6,180.05466666666663,-103.46666666666668,52.8,913.7333333333332,6.266666666666667,984.6,14.733333333333333,32.0,810.0,24927.75,100.0,312.85,1020.0,1030.0,1010.0,2.333333333333333,6.4,4.533333333333333,4.466666666666667,2.0,-5.34786564198364,79.2,-12.764610117551792,-44.51084536378714,0.0666666666666666,2800.0,25.53333333333333,30.53333333333333,2112.6,6.133333333333334,48059.73333333333,673.3333333333334,0.0,0.0,24.600666666666665,0.1566666666666666,30.01333333333333,1.5,69.13333333333334,0.0,0.0,146.66666666666666,0.0,2735.3066666666664,0.0,8.0,2.0,5.0,3.0,0,0.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,144.69500000029802
0.0,0.57,0.0,1.0,1213.0,-2.0,997.8666666666668,15.0,78.0,810.0,1048.05,100.0,462.32,1024.0,1008.0,1021.3333333333334,3.6666666666666665,4.8,5.0,3.933333333333333,2.0,-340.9983959395726,82.13333333333334,-5.074066167232161e-13,-49.70791735497677,0.0,0.0,26.0,29.066666666666663,2129.133333333333,6.066666666666666,0.0,0.0,0.0,0.0,24.186666666666667,0.4526666666666666,30.148666666666667,1.5,69.0,0.0,0.0,0.0,0.0,2728.398666666667,0.0,8.0,2.0,5.0,3.0,0,0.0,-0.2588190451025215,0.965925826289068,0.0,1.0,59.4569999948144
