,Timestamp,Real Energy,diff,Product Group,SKU code,Event Code_plc,Duration (sec),Καθαρές Μηχανοώρες (min),Work Center,Event Code_mes,Duration (min),Production Quantity (#),DB  955DBW    8   in die side,DB  955DBW   12  in center,DB  955DBW   16  in stem side,MW   960  diff die,MW   962  diff stem,MW   964  dif cont disk,DB   10DBW   92  disk temp,DB   10DBW    2 pressure main ,DB   10DBW   12 pressure mandrel,DB  301DBW   98  billet number,DB 2000DBW    8  m1 id,DB 2000DBW   50  m1 counter,DB 2000DBW   18  m2 id,DB 2000DBW   52   m2 counter,DB 2000DBW   38  man id,DB 2000DBW   56 man counter,DB  700DBW   46  contener counter,DB  301DBW  272  cooling water mandrel outlet,DB  301DBW  274  cooling water mandrel inlet,DB  301DBW  276  mandrel coolng flow,DB  301DBW   96  mandrell movment,DB   30DBW   80   contener position,DB   10DBW  114  cont  cooling air flow,MW    46  mikos  bigetas,DB  301DBW  166   mikos   solinas
496,2022-07-23 00:00:00,544264522.688,4536.5839999988675,{'DB3'},{'1.0'},"{'99.0', '98.0', '1102.0', '0.0', '901.0'}",25237.0,155.7,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",789.916666665813,319.0,445.06179051104,446.20533078298473,432.8436941244958,-1.1463262505717493,13.361802985571126,-53.45669258597031,402.4090814586885,38.59944280427461,6.882656243502848,39.21938542143125,938.1237473491622,470.3115722067446,992.8652334816417,282.1970975924155,671.0,402.2306956630213,17283.228907646888,69.45561145993597,63.28982494074598,128.71541436234355,73.44371907355816,18.711339348829473,447.0983824691255,814.6003991849973,301.8444010145952
497,2022-07-23 04:00:00,544322402.1145,2766.804000005126,"{'DB3', 'DB1'}","{'19.0', '1.0'}","{'99.0', '98.0', '401.0', '0.0', '9999.0', '702.0'}",13183.0,27.566666666666663,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",719.3000000030734,204.0,460.86866540398205,473.7197302166582,427.9179101030166,-12.85004850556659,45.800480436088144,49.06975562433593,361.4519794890747,13.799879890977964,2.6578740703099735,16.065043655009934,272.1330900355708,205.68365131426987,194.93583406476648,62.5019633205525,666.1882477941516,595.3418487550238,17369.680740980275,60.04845937081351,57.259943641151196,118.27768281979027,43.78324941100384,28.359587933662862,56.09918233473461,716.413914168245,197.92932046010995
498,2022-07-23 08:00:00,544364273.5885,2589.7249999940395,"{'DB3', 'DB1'}","{'1.0', '19.0'}","{'99.0', '98.0', '401.0', '0.0', '9999.0', '701.0'}",15493.0,8.616666666666667,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0', '0.0'}",704.6000000042841,216.0,453.38632066553225,471.6517772735867,424.0431083380601,-18.264794857250898,47.608668935526566,60.856683683115904,356.73719039515976,12.551947438079033,2.2939591605218377,33.74669124598223,313.5540744942333,270.08957269805256,241.52429570807337,85.21719606730952,666.4770277935337,611.6543770088864,17405.687984496122,58.17347324636037,55.876819814709776,115.46478540366799,39.3205237284931,76.09444129325014,99.11519190773303,697.890763849499,178.37658347513707
499,2022-07-23 12:00:00,544423738.7545,4751.9150000065565,{'DB3'},{'1.0'},"{'99.0', '98.0', '0.0', '901.0', '710.0'}",14673.0,183.38333333333333,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0', '0.0'}",726.350000007078,328.0,451.5493325030164,448.4984236951699,441.76339859105593,3.050792044525746,6.734908340793212,-68.28315105281594,414.1341221344335,38.702837348694196,6.7735180788541625,79.54481765461409,960.965593741486,464.5232553613825,968.773089946678,451.34297279414625,671.0,559.3757054450629,17494.374187521895,70.03386136301717,63.618300704472034,133.11076947028374,76.4238508543183,15.654224886155763,508.1240026466353,815.6706106721675,300.4509788658389
500,2022-07-23 16:00:00,544494416.256,4227.442999996245,{'DB3'},{'1.0'},"{'99.0', '801.0', '98.0', '0.0', '901.0', '702.0', '701.0'}",14297.0,150.66666666666666,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0', '0.0'}",766.016666663345,274.0,442.60249838466507,444.08511738100367,430.50803359896616,-1.4831359035106613,13.57527460693517,-65.88322205470601,411.55907818220976,36.49373250053844,6.3768253284514325,129.22041783329743,903.0425586905018,612.4922248546198,967.3336635795822,430.53069136334267,671.0,678.4054275253069,17613.404049106182,70.68563428817575,64.75507215162611,123.73702347620073,73.44380788283438,16.89851389188025,418.3464139564936,815.9373680809821,300.28111135041996
501,2022-07-23 20:00:00,544563353.6945,3860.1830000057817,{'DB3'},{'1.0'},"{'99.0', '801.0', '907.0', '98.0', '901.0', '710.0'}",14481.0,114.96666666666667,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0', '0.0'}",613.0666666687466,269.0,437.43498763849465,441.8897994689131,424.4836553429173,-4.4534383298232765,17.408067026829045,-51.07339071513598,384.1100631810274,33.336828129292186,5.989011995238531,87.13208497390349,953.5232579434117,445.0309037633916,983.4115465616702,351.0054940023807,671.2291456826298,576.4935445472026,17721.995925281568,69.4184140646461,63.94075634099441,121.29768336232945,83.62453072062998,19.2114733083051,360.1798827946159,815.6268198882887,304.1426151451332
502,2022-07-24 00:00:00,544627045.721,4472.093999996781,{'DB3'},"{'1.0', '2.0'}","{'614.0', '402.0', '99.0', '801.0', '98.0', '0.0', '901.0', '701.0'}",14462.0,152.36666666666667,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0', '0.0'}",782.0166666542646,310.0,438.41579955048695,445.8816282360776,427.9078082077749,-7.46458003829185,17.97357029884292,-43.70049113460418,399.3920336302339,36.12632148505785,6.046699408973612,35.032464829767754,998.3036294014818,142.3745941896279,979.0829101806377,169.83551152917673,672.0,68.41638225255973,17813.414717389496,67.19882627153916,61.076750187297094,129.0487804878049,82.65362523932407,14.04324481811371,415.2064846416382,813.9390660118205,303.18717223008406
503,2022-07-24 04:00:00,544695855.0925,3264.655999995768,{'DB3'},{'1.0'},"{'99.0', '98.0', '0.0', '710.0', '701.0'}",10811.0,105.0,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",703.1166666606441,261.0,438.2263640970775,443.36758826510504,430.82898811870035,-5.140041669012895,12.537192409482516,-74.3477673292415,405.2363871839631,34.77380483135312,6.927360774818402,54.19573174165212,986.1447153555944,337.587870938679,942.5839855847739,396.6848358578749,672.0,168.7401317641759,17913.739061884116,67.58229630046736,62.064530660510165,124.05101638605777,80.953995157385,47.19927923869587,432.46821330029843,815.4283461906639,305.66163635339825
504,2022-07-24 08:00:00,544716680.327,467.14200000464916,{'DB3'},{'1.0'},{'1102.0'},14274.0,105.0,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",614.283333344385,148.0,393.0897959183674,412.3287284144427,390.2712715855573,-19.243328100470958,22.051805337519625,-32.0,250.0,34.77380483135312,6.927360774818402,54.19573174165212,972.0,571.0,982.0,448.0,672.0,204.0,17949.0,30.089481946624804,35.86342229199372,124.05101638605777,79.0,540.0,0.03328100470957614,817.0,310.0
505,2022-07-24 12:00:00,544723538.556,386.45499999821186,{'DB3'},{'1.0'},{'1102.0'},14274.0,105.0,"{'S_DAN2', 'S_SCH4B', 'S_DAN1'}","{'99.0', '70.0'}",614.283333344385,148.0,392.23880597014926,412.9432835820896,389.8646766169154,-20.693864013267,23.0636815920398,-32.0,250.0,34.77380483135312,6.927360774818402,54.19573174165212,972.0,571.0,982.0,448.0,672.0,204.0,17949.0,32.24112769485904,33.03283582089552,124.05101638605777,79.0,540.0,0.03328100470957614,817.0,310.0
