"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/val_loss","epoch/val_mae","epoch/val_mape","val_MAE","val_MASE","val_MSE","val_R2","val_RMSE","val_SMAPE"
"XGBoost-standard-bs0-augFalse--seed42--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T12:18:34.000Z","5","fvnw83f9","0","false","0","","XGBoost","","","","","","","","","false","standard","42","true","","","","","","","","","0.44234492592347785","1.0070065783866196","0.4418999981080569","0.9232872018589608","0.6647555927617735","4.8290949274001935"
"LSTM-standard-bs64-augTrue--seed1234--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T09:32:54.000Z","1771","4ntavz6v","64","true","0.5","","LSTM","","","","","","","","","false","standard","1234","true","43","0.0010000000474974513","0.027609359472990036","0.11186222732067108","90.95399475097656","0.012606733478605747","0.09101836383342744","14.27587604522705","1.619462791704783","3.6867376319383696","4.778172397387194","0.17052053366558717","2.185903107959544","15.30320530518532"
"LSTM-standard-bs64-augTrue--seed2021--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T09:07:38.000Z","1513","4ntavz6v","64","true","0.5","","LSTM","","","","","","","","","false","standard","2021","true","35","0.0010000000474974513","0.02574139274656773","0.11015541851520538","86.93102264404297","0.011200785636901855","0.08442002534866333","13.164137840270996","3.654172967667043","8.318793776872305","29.092597482174167","-4.050406353481813","5.393755415494307","27.6424985381988"
"LSTM-standard-bs64-augTrue--seed777--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T08:47:47.000Z","1185","4ntavz6v","64","true","0.5","","LSTM","","","","","","","","","false","standard","777","true","27","0.0010000000474974513","0.03069453313946724","0.1187531128525734","106.10922241210938","0.010257194750010967","0.07836858928203583","12.467952728271484","0.969381235696219","2.2068146916632947","2.269112562145346","0.6060874073672498","1.50635738194671","9.445070865948628"
"LSTM-standard-bs64-augTrue--seed4242--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T08:21:44.000Z","1560","4ntavz6v","64","true","0.5","","LSTM","","","","","","","","","false","standard","4242","true","39","0.0010000000474974513","0.026095520704984665","0.11039623618125916","94.30128479003906","0.012076173909008505","0.08785513788461685","14.597685813903809","1.6690281151361095","3.799574026864805","6.006170655269781","-0.04265706958812299","2.4507489988307207","15.168452752027726"
"LSTM-standard-bs64-augTrue--seed42--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T07:43:21.000Z","2297","4ntavz6v","64","true","0.5","","LSTM","","","","","","","","","false","standard","42","true","54","0.0010000000474974513","0.02375064790248871","0.10706138610839844","73.80436706542969","0.008846732787787914","0.07301221042871475","13.988168716430664","1.476999506250128","3.3624172719118453","5.560890600516534","0.03464249841994005","2.358154066323177","13.372581220931677"
"LSTM-standard-bs64-augFalse--seed1234--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T07:22:47.000Z","1155","x25twazd","64","false","0","","LSTM","","","","","","","","","false","standard","1234","true","40","0.0010000000474974513","0.03033115528523922","0.11817169189453124","90.33687591552734","0.015181060880422592","0.10404034703969955","17.569801330566406","1.016527613332449","2.314144310800819","2.989089770572062","0.4811010609253972","1.728898426910055","9.445685952476532"
"LSTM-standard-bs64-augFalse--seed2021--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T07:07:41.000Z","901","x25twazd","64","false","0","","LSTM","","","","","","","","","false","standard","2021","true","32","0.0010000000474974513","0.03427492454648018","0.12364787608385086","104.12380981445312","0.009830383583903313","0.07809464633464813","12.4750394821167","1.050501143030505","2.3914856928129047","2.554336628288473","0.5565731817399987","1.5982292164418948","10.014312211729075"
"LSTM-standard-bs64-augFalse--seed777--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T06:47:45.000Z","1191","x25twazd","64","false","0","","LSTM","","","","","","","","","false","standard","777","true","43","0.0010000000474974513","0.0293610617518425","0.1175321564078331","99.59571838378906","0.008188178762793541","0.06842529773712158","11.605238914489746","1.8215993396506824","4.146905301068807","11.15179253477557","-0.935924899962991","3.339429971533401","14.97836392609892"
"LSTM-standard-bs64-augFalse--seed4242--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T06:18:35.000Z","1744","x25twazd","64","false","0","","LSTM","","","","","","","","","false","standard","4242","true","65","0.0010000000474974513","0.028728801757097244","0.11533727496862411","93.9756088256836","0.013334184885025024","0.09686802327632904","15.22467041015625","1.440820292917241","3.2800546094465526","5.33174098734258","0.07442233117570352","2.3090562980019738","12.498029179433018"
"LSTM-standard-bs64-augFalse--seed42--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-10T06:01:15.000Z","1037","x25twazd","64","false","0","","LSTM","","","","","","","","","false","standard","42","true","38","0.0010000000474974513","0.033533625304698944","0.1268068104982376","88.6281967163086","0.01247050892561674","0.09126432985067368","14.696246147155762","1.0974140433998374","2.498283796542677","3.004233648878297","0.4784721193446041","1.7332725258534207","10.092276768366633"
"BiLSTM-standard-bs64-augTrue--seed1234--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T23:15:11.000Z","1874","tvl5987r","64","true","0.5","","BiLSTM","","","","","","","","","false","standard","1234","true","18","0.004000000189989805","0.017155721783638","0.09174635261297226","79.94586944580078","0.01275197882205248","0.08874932676553726","14.10515308380127","0.7469850066961639","1.700525475970618","1.3331103909723403","0.7685751781845993","1.1546039974694096","7.510176168385928"
"BiLSTM-standard-bs64-augTrue--seed2021--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T22:40:41.000Z","2068","tvl5987r","64","true","0.5","","BiLSTM","","","","","","","","","false","standard","2021","true","20","0.004000000189989805","0.02047661319375038","0.1020050048828125","73.96543884277344","0.010847263038158417","0.08374805748462677","16.87493324279785","1.327197643275179","3.021390501557435","2.421169794570053","0.5796906302076597","1.5560108593997837","13.600992832365758"
"BiLSTM-standard-bs64-augTrue--seed777--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T20:50:35.000Z","6605","tvl5987r","64","true","0.5","","BiLSTM","","","","","","","","","false","standard","777","true","67","0.004000000189989805","0.014949182979762554","0.0872202217578888","66.18756866455078","0.01081451028585434","0.08127006888389587","14.09478759765625","0.6552759937169972","1.4917481758251183","0.806812559899571","0.8599392412079252","0.898227454434327","7.087538034460394"
"BiLSTM-standard-bs64-augTrue--seed4242--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T20:00:04.000Z","3030","tvl5987r","64","true","0.5","","BiLSTM","","","","","","","","","false","standard","4242","true","30","0.004000000189989805","0.013857195153832436","0.0840972438454628","66.71941375732422","0.01007482223212719","0.07674511522054672","12.427971839904783","0.9148893113812292","2.08276279677701","1.7069971551095902","0.7036693171579748","1.306521012119434","9.193295164960318"
"BiLSTM-standard-bs64-augTrue--seed42--fake_data_length0.5---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T18:59:27.000Z","3632","tvl5987r","64","true","0.5","","BiLSTM","","","","","","","","","false","standard","42","true","36","0.004000000189989805","0.01743316277861595","0.09444714337587357","67.15046691894531","0.012793322093784807","0.08803203701972961","16.80263900756836","0.9100043438682872","2.071642075971933","1.3008608019713404","0.7741736308249187","1.1405528492671175","9.506011590073124"
"BiLSTM-standard-bs64-augFalse--seed1234--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T18:34:00.000Z","1453","uhe748nc","64","false","0","","BiLSTM","","","","","","","","","false","standard","1234","true","21","0.004000000189989805","0.01850796677172184","0.0951625034213066","78.11003112792969","0.014569706283509731","0.10074309259653091","16.401798248291016","1.222627908654525","2.7833355256960006","3.2923159361722583","0.4284617132622158","1.814474010883666","12.036406713350097"
"BiLSTM-standard-bs64-augFalse--seed2021--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T18:04:21.000Z","1776","uhe748nc","64","false","0","","BiLSTM","","","","","","","","","false","standard","2021","true","26","0.004000000189989805","0.01885654218494892","0.09657833725214005","82.16017150878906","0.012898340821266174","0.0934910997748375","15.374171257019045","0.8955332700871239","2.038698403195475","2.2829448582364416","0.6036861533676878","1.510941712388814","8.757622855350542"
"BiLSTM-standard-bs64-augFalse--seed777--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T17:40:09.000Z","1447","uhe748nc","64","false","0","","BiLSTM","","","","","","","","","false","standard","777","true","21","0.004000000189989805","0.020481113344430923","0.0965467318892479","79.01053619384766","0.007654521614313126","0.06445697695016861","13.66475772857666","1.09802951937031","2.4996849392138873","5.644475936739171","0.020132281057073875","2.3758105851980647","9.910021130814895"
"BiLSTM-standard-bs64-augFalse--seed4242--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T17:16:12.000Z","1434","uhe748nc","64","false","0","","BiLSTM","","","","","","","","","false","standard","4242","true","21","0.004000000189989805","0.01960580423474312","0.09872347861528397","82.6874008178711","0.007401523645967245","0.06482134014368057","15.15353012084961","1.5133232251899074","3.4451089041204903","6.0828368297709785","-0.05596613678417661","2.4663407772996373","13.531401208979668"
"BiLSTM-standard-bs64-augFalse--seed42--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-09T16:57:41.000Z","1106","uhe748nc","64","false","0","","BiLSTM","","","","","","","","","false","standard","42","true","16","0.004000000189989805","0.019915133714675903","0.09804972261190414","100.34251403808594","0.011812951415777206","0.08664198219776154","14.39748477935791","1.1872447476747758","2.702785091447583","2.2637601737719835","0.6070165693736225","1.5045797332717146","11.572949792981904"
