"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","Coverage_0.90","Coverage_Error_0.90","Pinball_0.05","Pinball_0.50","Pinball_0.95","Sharpness_0.90","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/mse","epoch/val_loss","epoch/val_mae","epoch/val_mape","epoch/val_mse","val_MAE","val_MASE","val_MSE","val_R2","val_RMSE","val_SMAPE"
"LSTM-standard-bs64-augTrue--seed777--fake_data_length1---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-24T03:11:19.000Z","4826","7rxu8gd0","64","true","1","","LSTM","","","","","","","","","true","standard","777","true","0.6910362364907819","-0.20896376350921808","0.28567243222590094","5.098701788854974","0.7903015122925947","16.153385162353516","14","0.0010000000474974513","0.017457881942391396","0.28092414140701294","241.42269897460935","0.14480316638946533","0.013424161821603777","0.2588593661785126","45.33192443847656","0.08149991184473038","1.6337807504371404","3.719332735414353","3.883754100908979","0.32578944184649994","1.9707242579592352","16.686851412715704"
"LSTM-standard-bs64-augTrue--seed2021--fake_data_length1---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-24T01:54:20.000Z","4616","7rxu8gd0","64","true","1","","LSTM","","","","","","","","","true","standard","2021","true","0.8162746344564527","-0.08372536554354737","0.1264036096817206","5.080379059853225","0.7565303004174504","15.744736671447754","14","0.0010000000474974513","0.018197014927864075","0.2859785854816437","268.0804443359375","0.15146134793758392","0.01221582479774952","0.22666218876838684","36.339149475097656","0.06558506935834885","1.8278065440159124","4.161036119041065","4.825636780490641","0.1622808286293962","2.196733206488817","18.320523864594097"
"BiLSTM-standard-bs64-augFalse--seed1234--fake_data_length0---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-24T00:47:17.000Z","2815","4a68yrbt","64","false","0","","BiLSTM","","","","","","","","","true","standard","1234","true","0.9357914812460268","0.03579148124602671","0.09729120443372004","5.130497721948076","0.35842040452090207","8.231801986694336","14","0.004000000189989805","0.015355288982391356","0.24273253977298737","187.6568145751953","0.09410302340984344","0.013398083858191969","0.26658833026885986","45.279579162597656","0.08026041835546494","1.0058385357308068","2.289810423757203","1.5845030832518772","0.7249339993216459","1.2587704648790727","11.024038707747346"
"LSTM-standard-bs64-augTrue--seed1234--fake_data_length1---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-24T00:21:05.000Z","5594","7rxu8gd0","64","true","1","","LSTM","","","","","","","","","true","standard","1234","true","0.933248569612206","0.0332485696122059","0.09188257923417234","5.059924995745736","0.4274724581100652","9.45607852935791","14","0.0010000000474974513","0.016867563128471375","0.27381837368011475","231.08236694335935","0.1357641965150833","0.010773558169603348","0.19643469154834747","28.94773292541504","0.051475320011377335","2.1968343874791287","5.001134974474919","6.288508564526691","-0.09167026518241728","2.507689886035889","21.70172461230276"
"LSTM-standard-bs64-augTrue--seed4242--fake_data_length1---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-23T23:00:58.000Z","4806","7rxu8gd0","64","true","1","","LSTM","","","","","","","","","true","standard","4242","true","0.9383343928798474","0.03833439287984741","0.0921606442538781","5.095182839955854","0.55470332121743","12.071033477783203","14","0.0010000000474974513","0.017289768904447556","0.27583178877830505","227.94140625","0.13994130492210388","0.013894290663301945","0.27514025568962097","49.71517181396485","0.09209920465946198","1.6957293541963436","3.8603599018889048","4.2226099812172455","0.2669648596869958","2.05489901971295","17.15263143644396"
"LSTM-standard-bs64-augTrue--seed42--fake_data_length1---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-23T21:23:28.000Z","5848","7rxu8gd0","64","true","1","","LSTM","","","","","","","","","true","standard","42","true","0.8378893833439288","-0.062110616656071205","0.12349339855452368","5.049994588042423","0.534306898635433","11.33969020843506","14","0.0010000000474974513","0.017396708950400352","0.2778530418872833","238.18743896484375","0.1489505171775818","0.0195060633122921","0.38333016633987427","81.65689086914062","0.25283151865005493","2.3687216839969194","5.392439651414856","7.567116554879326","-0.31363359870896956","2.7508392455538595","22.85670485572287"
"LSTM-standard-bs64-augTrue--seed777--fake_data_length0.75---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-23T20:15:26.000Z","4080","7rxu8gd0","64","true","0.75","","LSTM","","","","","","","","","true","standard","777","true","0.6923076923076923","-0.20769230769230773","0.18781387983274855","5.091895926917074","0.48342011302273863","10.049639701843262","14","0.0010000000474974513","0.018132006749510765","0.29002341628074646","247.81309509277344","0.15680597722530365","0.01349174976348877","0.26415809988975525","36.29311752319336","0.08882280439138412","1.6983770887638003","3.866387519639203","4.089987525138811","0.28998780547941905","2.022371757402385","17.44123244098843"
"LSTM-standard-bs64-augTrue--seed2021--fake_data_length0.75---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-23T18:50:44.000Z","5082","7rxu8gd0","64","true","0.75","","LSTM","","","","","","","","","true","standard","2021","true","0.8919262555626192","-0.008073744437380848","0.0996659508686648","5.0950981538422475","0.5029853748350639","10.853787422180176","14","0.0010000000474974513","0.017880501225590706","0.2876940369606018","247.25189208984375","0.15723556280136108","0.022631296887993813","0.4516868591308594","99.26548767089844","0.27417734265327454","1.6516312676785634","3.759969775055283","3.9622419131477886","0.31216414263268266","1.9905380963819277","16.815827706344038"
"LSTM-standard-bs64-augTrue--seed1234--fake_data_length0.75---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-23T17:15:16.000Z","5727","7rxu8gd0","64","true","0.75","","LSTM","","","","","","","","","true","standard","1234","true","0.736808645899555","-0.16319135410044505","0.3858327448481749","5.0781575262461285","0.540251588260605","11.100737571716309","14","0.0010000000474974513","0.017735078930854797","0.28677117824554443","249.66160583496097","0.15043798089027405","0.015468777157366276","0.2981452941894531","47.13636779785156","0.11105892062187196","1.915564408214397","4.360818554362413","5.056163363835144","0.12226195709745746","2.248591417718022","19.079263225497183"
"LSTM-standard-bs64-augTrue--seed4242--fake_data_length0.75---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-23T15:59:10.000Z","4561","7rxu8gd0","64","true","0.75","","LSTM","","","","","","","","","true","standard","4242","true","0.7933884297520661","-0.10661157024793388","0.1403447928962174","5.087619878553584","0.4901043163009765","10.353848457336426","14","0.0010000000474974513","0.01809960976243019","0.29311034083366394","281.31048583984375","0.16250716149806976","0.012537600472569466","0.2354983687400818","38.235965728759766","0.0717436820268631","1.7273769060366486","3.932406151377323","4.261747308576642","0.260170711901625","2.064399987545205","17.286707914796846"
