timestamp,"node_network_receive_bytes_total{instance=""172.16.3.219:9100"", job=""otel-collector"", device=""eth1""}","node_network_transmit_bytes_total{instance=""172.16.3.86:9100"", job=""otel-collector"", device=""eth1""}","node_network_receive_bytes_total{instance=""172.16.2.14:9100"", job=""otel-collector"", device=""eth1""}",packet_count_ratio,delta_time_milliseconds,max_delta_time_milliseconds,min_delta_time_milliseconds,variance_delta_time_ratio,cycle_time_nanoseconds,longest_cycle_time_nanoseconds,shortest_cycle_time_nanoseconds,throughput_rcvd_by_imagestore_MBps,throughput_trnsmt_from_otherapps_MBps,throughput_rcvd_by_pnetio_MBps
1747829520,8729388755,18356727816,691056326237,63,15.99740982055664,17.07172393798828,15.0604248046875,0.0652083642977898,1149728,1221915,1010585,,,
1747829521,8729388755,18356727816,691056330497,64,16.017675399780273,17.014741897583008,15.040159225463867,0.05967047644349378,1072127,1534392,1009159,0.000000,0.000000,0.004063
1747829522,8729388755,18356727816,691056334757,63,16.115188598632812,19.13166046142578,12.882471084594727,0.34747894172744825,1083070,1526328,1011640,0.000000,0.000000,0.004063
1747829523,8730161497,18356788610,691056339017,64,16.0214900970459,18.025636672973633,14.029741287231445,0.2353528500814579,1049702,3124926,1013004,0.736944,0.057978,0.004063
1747829524,8731268471,18357904596,691056343397,64,16.030550003051758,18.038034439086914,13.819694519042969,0.20851759246462095,1020419,1241073,1010148,1.055693,1.064287,0.004177
1747829525,8732351413,18358999554,691056347717,63,16.03388786315918,17.369985580444336,14.973878860473633,0.20588884034503613,1060413,1255287,1007873,1.032774,1.044233,0.004120
1747829526,8733473407,18360090006,691056352037,64,15.99264144897461,17.09723472595215,14.905214309692383,0.07448598917043865,1020133,1259981,1014021,1.070017,1.039936,0.004120
1747829527,8734578879,18361224016,691056356834,64,15.964746475219727,17.96746253967285,14.096260070800781,0.18227706432360744,1190916,1262135,1010631,1.054260,1.081476,0.004575
1747829528,8735667949,18362337058,691056361371,63,15.997886657714844,16.964197158813477,14.997720718383789,0.03429039690464917,1025279,1334049,1012227,1.038618,1.061480,0.004327
1747829529,8736776425,18363406542,691056366347,64,15.956640243530273,18.03421974182129,13.918161392211914,0.24185275103632092,1088996,1249749,1015094,1.057125,1.019939,0.004745
1747829530,8737901423,18364539050,691056370547,64,15.922069549560547,20.4012393951416,11.928319931030273,0.6733355392667308,1061287,1286237,1011000,1.072882,1.080044,0.004005
1747829531,8739006895,18365629502,691056375084,64,16.0219669342041,17.021656036376953,15.012502670288086,0.0866706154932126,1042749,1415998,1011290,1.054260,1.039936,0.004327
1747829532,8740092841,18366719954,691056379501,63,15.99740982055664,17.014503479003906,14.960765838623047,0.07163908322382154,1031626,3283534,1012950,1.035639,1.039936,0.004212
1747829533,8741216337,18367843450,691056384038,64,15.978813171386719,16.99352264404297,15.020608901977539,0.06104107645188725,1040229,4462136,1012315,1.071449,1.071449,0.004327
1747829534,8742284259,18368933902,691056388478,64,16.0367488861084,17.0290470123291,15.002012252807617,0.06611578127811717,1022575,1380732,1011689,1.018450,1.039936,0.004234
1747829535,8743436293,18370073920,691056392678,64,16.91913604736328,18.69797706604004,14.324426651000977,0.2839992736169907,1053130,1421771,1011117,1.098665,1.087206,0.004005
1747829536,8744553781,18371152356,691056397432,64,15.983104705810547,17.03476905822754,14.989376068115234,0.10179798562380803,1018663,1285346,1014897,1.065720,1.028477,0.004534
1747829537,8745644233,18372271346,691056401572,63,16.106367111206055,17.03643798828125,14.967679977416992,0.09582494943682526,1164760,1438961,1015929,1.039936,1.067152,0.003948
1747829538,8746758717,18373378320,691056405892,64,16.01266860961914,18.016815185546875,14.009475708007812,0.1903622844056404,1027538,1314768,1014574,1.062855,1.055693,0.004120
1747829539,8747853675,18374494306,691056410212,64,16.01243019104004,18.00823211669922,14.004945755004883,0.19383268408772028,1047733,4932982,1014402,1.044233,1.064287,0.004120
1747829540,8748962151,18375572742,691056414472,63,15.945911407470703,17.038345336914062,15.016317367553711,0.0655487655219363,1043686,1174159,1018404,1.057125,1.028477,0.004063
1747829541,8750048097,18376675210,691056418852,64,16.00933074951172,17.036914825439453,14.996767044067383,0.07085127153430566,1036528,1233185,1010776,1.035639,1.051395,0.004177
1747829542,8751165585,18377798706,691056420112,55,2.1131038665771484,17.044782638549805,2.1131038665771484,3.615811811188178,1353957,1353957,1016754,1.065720,1.071449,0.001202
1747829543,8752265049,18378914692,691056423128,55,0,17.044782638549805,2.1131038665771484,3.615811811188178,1017676,1401014,1013793,1.048531,1.064287,0.002876
1747829544,8753384039,18380018662,691056427725,37,15.992164611816406,1604.886770248413,15.87677001953125,68178.76118787545,1022060,1335825,1015680,1.067152,1.052828,0.004384
1747829545,8754489511,18381125636,691056432142,63,15.001296997070312,18.155813217163086,13.855218887329102,0.28565490812533284,1045422,1354263,1016764,1.054260,1.055693,0.004212
1747829546,8755576959,18382202570,691056436462,64,15.990734100341797,17.024755477905273,14.998435974121094,0.034341312377921665,1127575,1310179,1010571,1.037071,1.027044,0.004120
1747829547,8756712471,18383327568,691056440722,64,15.992403030395508,17.760515213012695,14.000177383422852,0.11493789970086042,1020358,1410500,1011254,1.082909,1.072882,0.004063
1747829548,8757798417,18384437546,691056445042,63,15.998125076293945,17.06409454345703,14.954328536987305,0.10247344338228756,1034727,1224045,1010066,1.035639,1.058558,0.004120
1747829549,8758884363,18385520488,691056449242,64,16.01123809814453,17.0285701751709,14.967679977416992,0.09585701413379041,1110231,3256360,1012651,1.035639,1.032774,0.004005
1747829550,8760015369,18386642482,691056453622,64,15.944242477416992,17.25149154663086,14.94288444519043,0.14189987019220626,1024516,3552565,1016789,1.078611,1.070017,0.004177
1747829551,8761104319,18387761472,691056458002,63,16.005992889404297,17.63153076171875,14.820575714111328,0.1907315199181564,1058690,3460265,1014220,1.038504,1.067152,0.004177
1747829552,8762233823,18388868446,691056462202,64,15.953302383422852,17.992496490478516,13.991594314575195,0.22653364056358088,1043342,3674668,1015420,1.077179,1.055693,0.004005
1747829553,8763315263,18389963404,691056466642,64,15.973329544067383,17.497777938842773,14.994382858276367,0.11525641212403792,1035370,1378956,1010826,1.031342,1.044233,0.004234
1747829554,8764426743,18391061366,691056470902,63,16.019821166992188,17.01068878173828,14.981269836425781,0.10167938926488121,1046504,1290203,1019300,1.059990,1.047098,0.004063
1747829555,8765547235,18392183360,691056475282,64,15.985965728759766,17.02594757080078,14.962911605834961,0.06328601443124751,1027880,1327883,1016050,1.068584,1.070017,0.004177
1747829556,8766637687,18393300848,691056479542,64,16.002416610717773,17.03190803527832,14.980077743530273,0.09621872131097595,1052531,1487998,1011013,1.039936,1.065720,0.004063
1747829557,8767761183,18394395806,691056484242,63,16.002893447875977,17.036914825439453,14.987707138061523,0.06080204950088459,1049305,1222037,1009997,1.071449,1.044233,0.004482
1747829558,8768853137,18395477246,691056488502,64,16.007184982299805,17.583847045898438,14.940977096557617,0.22753776613818455,1228952,4912851,1010368,1.041368,1.031342,0.004063
1747829559,8769958609,18396617264,691056492762,64,15.951395034790039,16.669034957885742,14.903068542480469,0.054805666707626315,1023971,3192968,1015744,1.054260,1.087206,0.004063
1747829560,8771091117,18397703210,691056497239,64,16.042709350585938,17.937660217285156,14.898300170898438,0.19788416426568997,1037235,3356777,1015737,1.080044,1.035639,0.004270
1747829561,8772165107,18398834216,691056501656,63,15.99740982055664,16.82448387145996,14.990568161010742,0.05710755094526299,1048516,1417529,1013807,1.024237,1.078611,0.004212
1747829562,8773288603,18399923166,691056506036,64,15.954732894897461,17.285823822021484,14.953136444091797,0.08027567621919575,1043195,1370254,1015552,1.071449,1.038504,0.004177
1747829563,8774386565,18401009112,691056510296,64,16.04771614074707,16.997575759887695,14.992713928222656,0.032987367706082155,1031497,2908430,1014162,1.047098,1.035639,0.004063
