"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/val_loss","epoch/val_mae","epoch/val_mape","val_MSE","val_MAE","val_MASE","val_R2","val_RMSE","val_SMAPE"
"BiLSTM-standard-bs16-augTrue--seed1234--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T04:23:30.000Z","927","zxgtfzub","16","true","1","","BiLSTM","","","","","","","","","false","standard","1234","true","49","0.004000000189989805","0.015428547747433186","0.09597612172365189","21.04095458984375","0.08294127881526947","0.2302059829235077","33.39438247680664","320.4356857015711","13.363146822723236","0.6215496283230281","0.9063775860362424","17.900717463318923","21.242540935907545"
"BiLSTM-standard-bs16-augTrue--seed2021--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T04:14:25.000Z","540","zxgtfzub","16","true","1","","BiLSTM","","","","","","","","","false","standard","2021","true","28","0.004000000189989805","0.01991904713213444","0.10771556943655014","23.14415168762207","0.12073513865470886","0.2786727845668793","37.59503555297851","254.38944426287227","12.48909152962664","0.5808953760151685","0.9256744647318408","15.949590723992646","19.145307476763374"
"BiLSTM-standard-bs16-augTrue--seed777--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T03:54:36.000Z","1187","zxgtfzub","16","true","1","","BiLSTM","","","","","","","","","false","standard","777","true","63","0.004000000189989805","0.01271758321672678","0.08720985054969788","19.752756118774418","0.0892317146062851","0.2377251982688904","36.18729019165039","345.29656815946873","13.329906799891114","0.6200035610597677","0.8991139261730108","18.58215725257616","18.815171612860222"
"BiLSTM-standard-bs16-augTrue--seed4242--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T03:46:22.000Z","490","zxgtfzub","16","true","1","","BiLSTM","","","","","","","","","false","standard","4242","true","25","0.004000000189989805","0.021334242075681686","0.11247499287128448","24.365568161010746","0.08150473982095718","0.2241867035627365","33.4984016418457","366.0334428090771","14.27732815339985","0.664070231728784","0.8930551869333111","19.132000491560653","22.383417071667537"
"BiLSTM-standard-bs16-augTrue--seed42--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T03:36:51.000Z","568","zxgtfzub","16","true","1","","BiLSTM","","","","","","","","","false","standard","42","true","29","0.004000000189989805","0.02057136595249176","0.109215646982193","25.03705596923828","0.08050118386745453","0.21212151646614075","33.0726432800293","310.6612821279409","12.682570876564675","0.5898945300148108","0.9092333954808604","17.625586008071927","18.317312288807575"
"LSTM-standard-bs16-augTrue--seed1234--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T03:30:11.000Z","395","zxgtfzub","16","true","1","","LSTM","","","","","","","","","false","standard","1234","true","34","0.0010000000474974513","0.033387839794158936","0.13794755935668945","32.09228515625","0.0836244598031044","0.2207367867231369","35.00480651855469","290.8563428813452","12.911427055127346","0.6005391389989144","0.9150198490608114","17.054510924718574","18.480079378208323"
"LSTM-standard-bs16-augTrue--seed2021--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T03:22:39.000Z","448","zxgtfzub","16","true","1","","LSTM","","","","","","","","","false","standard","2021","true","40","0.0010000000474974513","0.030239542946219444","0.130796417593956","29.862754821777344","0.08402129262685776","0.2231988310813904","34.47752380371094","296.4510123870724","13.21674568635913","0.6147401864228279","0.9133852419061532","17.217752826285793","19.54718075058071"
"LSTM-standard-bs16-augTrue--seed777--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T03:14:20.000Z","498","zxgtfzub","16","true","1","","LSTM","","","","","","","","","false","standard","777","true","45","0.0010000000474974513","0.02927105873823166","0.12957249581813812","31.14511489868164","0.0850592702627182","0.22457872331142423","35.29906463623047","291.32416510921064","12.932350151395127","0.6015123186609453","0.9148831643898054","17.068220912245383","21.398715127872812"
"LSTM-standard-bs16-augTrue--seed4242--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T03:05:10.000Z","549","zxgtfzub","16","true","1","","LSTM","","","","","","","","","false","standard","4242","true","49","0.0010000000474974513","0.02786111831665039","0.12576508522033691","27.114810943603516","0.07482288032770157","0.20532767474651337","33.913204193115234","318.1266869119555","12.968366645386762","0.6031875257623096","0.9070522113984268","17.83610627104345","18.31298074822979"
"LSTM-standard-bs16-augTrue--seed42--fake_data_length1---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T02:55:49.000Z","555","zxgtfzub","16","true","1","","LSTM","","","","","","","","","false","standard","42","true","50","0.0010000000474974513","0.028882065787911415","0.12848590314388275","30.113536834716797","0.07817461341619492","0.21733662486076355","32.33374786376953","312.6174492920683","12.962146291211688","0.6028982032788522","0.908661857727126","17.680991185226812","18.27355062536834"
"BiLSTM-standard-bs16-augTrue--seed1234--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T02:46:18.000Z","570","zxgtfzub","16","true","0.75","","BiLSTM","","","","","","","","","false","standard","1234","true","34","0.004000000189989805","0.01805791072547436","0.10457851737737656","21.943960189819336","0.0837654173374176","0.21928294003009796","34.22674560546875","392.5661450947341","13.670281438895408","0.6358351412384693","0.8853030677162324","19.813282037429698","19.01816166494985"
"BiLSTM-standard-bs16-augTrue--seed2021--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T02:39:59.000Z","378","zxgtfzub","16","true","0.75","","BiLSTM","","","","","","","","","false","standard","2021","true","22","0.004000000189989805","0.027752036228775975","0.12649452686309814","29.817407608032227","0.09635423123836516","0.24425028264522552","34.81922912597656","234.47971677769647","11.959846704250433","0.5562790241282682","0.9314915345268034","15.312730546107591","18.675538542302306"
"BiLSTM-standard-bs16-augTrue--seed777--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T02:28:48.000Z","668","zxgtfzub","16","true","0.75","","BiLSTM","","","","","","","","","false","standard","777","true","40","0.004000000189989805","0.01862969808280468","0.10584116727113724","23.324935913085938","0.07799794524908066","0.22005324065685272","32.1788444519043","232.41203235485","12.108312943652711","0.56318451855583","0.9320956545284764","15.245065836356693","18.07924224039619"
"BiLSTM-standard-bs16-augTrue--seed4242--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T02:22:45.000Z","363","zxgtfzub","16","true","0.75","","BiLSTM","","","","","","","","","false","standard","4242","true","21","0.004000000189989805","0.024074338376522064","0.11809459328651428","26.141883850097656","0.09171608090400696","0.2244112640619278","37.09764862060547","306.3075935089588","13.130071812502202","0.6107087921116104","0.910505422462697","17.50164545146995","19.192371465494663"
"BiLSTM-standard-bs16-augTrue--seed42--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T02:08:03.000Z","880","zxgtfzub","16","true","0.75","","BiLSTM","","","","","","","","","false","standard","42","true","53","0.004000000189989805","0.016103645786643028","0.10069029033184052","19.69376564025879","0.09588168561458588","0.24285580217838287","31.982982635498047","334.2160324635077","13.637289329503592","0.6343006049797487","0.902351351173276","18.28157631232897","21.186275287945044"
"LSTM-standard-bs16-augTrue--seed1234--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T01:54:06.000Z","832","zxgtfzub","16","true","0.75","","LSTM","","","","","","","","","false","standard","1234","true","87","0.0010000000474974513","0.0226766187697649","0.11507493257522584","25.508705139160156","0.0750034749507904","0.21012446284294128","32.622459411621094","232.96291257592804","11.968833413548197","0.5566970159304965","0.9319347026170522","15.26312263515982","18.743965776274088"
"LSTM-standard-bs16-augTrue--seed2021--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T01:44:50.000Z","552","zxgtfzub","16","true","0.75","","LSTM","","","","","","","","","false","standard","2021","true","57","0.0010000000474974513","0.02774577960371971","0.1268955022096634","27.339292526245117","0.08527717739343643","0.2221582382917404","33.39048767089844","374.4001693779735","13.585848615741764","0.6319079831711664","0.8906106616406934","19.34942297273936","19.190649259133068"
"LSTM-standard-bs16-augTrue--seed777--fake_data_length0.75---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-17T01:39:13.000Z","332","zxgtfzub","16","true","0.75","","LSTM","","","","","","","","","false","standard","777","true","34","0.0010000000474974513","0.03698117285966873","0.14594772458076477","34.31861877441406","0.08670791983604431","0.23244459927082065","35.70559310913086","298.73828555025506","12.902599149620569","0.6001285335135899","0.9127169641690376","17.284047140361977","18.494152503878276"
