"Name","state","Notes","User","Tags","Created","Runtime","Sweep","data_augmentation","fake_data_length","model_name","scaler_name","seed","val_MAE","val_MASE","val_MSE","val_R2","val_RMSE","val_SMAPE","Pinball_0.05","Pinball_0.50","Pinball_0.95","Coverage_0.90","Coverage_Error_0.90","Sharpness_0.90","batch_size","testing_stage","pinball_loss_usage"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length400---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","2021","12.084640502929688","","239.4729156494141","0.9300326704978944","15.4749124601535","31.4061222076416","1.528838872909546","6.042320251464844","1.8455872535705569","0.8579881656804734","-0.0420118343195266","53.223915100097656","16","True","True"
"TFT-standard-bs16-augTrue--seed42--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","42","11.036654472351074","","198.1265411376953","0.942112922668457","14.075743004818442","20.5965576171875","1.6780202388763428","5.518327236175537","2.400808334350586","0.6331360946745562","-0.2668639053254438","24.78388214111328","16","True","True"
"TFT-standard-bs16-augTrue--seed777--fake_data_length400---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","777","10.776305198669434","","185.4995880126953","0.9458021521568298","13.619823347338077","26.042404174804688","1.2888320684432983","5.388152599334717","1.9375768899917605","0.7869822485207101","-0.1130177514792899","35.78561782836914","16","True","True"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","1234","10.28085231781006","","180.4881591796875","0.9472663402557372","13.434588165615182","17.183534622192383","1.3974436521530151","5.140426158905029","1.7688738107681274","0.6804733727810651","-0.2195266272189349","27.59317207336425","16","True","True"
"TFT-standard-bs16-augTrue--seed42--fake_data_length800---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","42","11.450590133666992","","206.69891357421875","0.9396083354949952","14.377027285715874","23.12031936645508","1.7352392673492432","5.725295066833496","1.4080395698547363","0.7928994082840237","-0.1071005917159763","34.73077774047852","16","True","True"
"TFT-standard-bs16-augFalse--seed2021--fake_data_length0---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","False","0","TFT","standard","2021","10.220388412475586","","182.56857299804688","0.9466585516929626","13.511793848266294","17.751718521118164","1.6448854207992554","5.110194206237793","1.4816240072250366","0.8224852071005917","-0.0775147928994083","40.52214431762695","16","True","True"
"TFT-standard-bs16-augFalse--seed777--fake_data_length0---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","False","0","TFT","standard","777","10.51364803314209","","199.7729949951172","0.9416318535804749","14.134107506139792","17.814334869384766","1.5014437437057495","5.256824016571045","1.488513469696045","0.8757396449704142","-0.0242603550295857","40.74663162231445","16","True","True"
"TFT-standard-bs16-augFalse--seed4242--fake_data_length0---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","False","0","TFT","standard","4242","11.117879867553713","","199.1877593994141","0.9418028593063354","14.113389366109548","23.60390853881836","1.5533400774002075","5.558939933776856","1.517534613609314","0.9289940828402368","0.0289940828402366","53.59013748168945","16","True","True"
"TFT-standard-bs16-augFalse--seed1234--fake_data_length0---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","False","0","TFT","standard","1234","13.051714897155762","","251.03663635253903","0.926654040813446","15.844135708600172","34.32225036621094","2.354541063308716","6.525857448577881","2.1838173866271973","0.6094674556213018","-0.2905325443786982","25.13796043395996","16","True","True"
"TFT-standard-bs16-augFalse--seed42--fake_data_length0---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","False","0","TFT","standard","42","11.302602767944336","","208.27149963378903","0.9391488432884216","14.43161458859642","22.163558959960938","1.852281928062439","5.651301383972168","1.3534457683563232","0.7514792899408284","-0.1485207100591716","31.4032039642334","16","True","True"
"TFT-standard-bs16-augFalse--seed1234--fake_data_length0---pinball_loss_usageTrue---testing_stageFalse","finished","-","","","","","","False","0","TFT","standard","1234","10.178292274475098","","181.98619079589844","0.9602967500686646","13.490225750368245","23.860694885253903","1.3906537294387815","5.089146137237549","1.7178796529769895","0.9661016949152542","0.0661016949152542","54.81515121459961","16","False","True"
"TFT-standard-bs16-augFalse--seed777--fake_data_length0---pinball_loss_usageTrue---testing_stageFalse","finished","-","","","","","","False","0","TFT","standard","777","11.49319076538086","","218.271484375","0.9523804783821106","14.774013820725903","25.386205673217773","1.3044073581695557","5.74659538269043","1.3385893106460571","0.9491525423728814","0.0491525423728813","49.31829452514648","16","False","True"
"TFT-standard-bs16-augFalse--seed42--fake_data_length0---pinball_loss_usageTrue---testing_stageFalse","finished","-","","","","","","False","0","TFT","standard","42","10.682649612426758","","172.41342163085938","0.9623851776123048","13.130629140709877","24.055259704589844","1.2344087362289429","5.341324806213379","1.3568105697631836","0.7796610169491526","-0.1203389830508474","36.077484130859375","16","False","True"
"TFT-standard-bs16-augFalse--seed2021--fake_data_length0---pinball_loss_usageTrue---testing_stageFalse","finished","-","","","","","","False","0","TFT","standard","2021","11.41588020324707","","211.44015502929688","0.9538708925247192","14.540981914207062","24.916635513305664","1.3127433061599731","5.707940101623535","1.5327744483947754","0.9322033898305084","0.0322033898305084","52.39202117919922","16","False","True"
"TFT-standard-bs16-augFalse--seed4242--fake_data_length0---pinball_loss_usageTrue---testing_stageFalse","finished","-","","","","","","False","0","TFT","standard","4242","10.279366493225098","","164.4219207763672","0.9641286730766296","12.822711132064358","23.70411491394043","1.165828824043274","5.139683246612549","1.4727438688278198","0.8813559322033898","-0.0186440677966102","43.05061721801758","16","False","True"
