MD 210,DB 70DBD 4 ΘΕΡΜ ΚΟΛΕΚΤΕΡ ΨΥΓΕΙΩΝ (ΝΕΡΟ ΑΠΟ ΔΕΞΑΜΕΝΗ),DB 30DBW 20 ramposition,DB 20DBW 174 EXTRACTION STEP,DB 10DBW 14 BACKWARD PRESS,DB 20DBD 292,Setpoint position exhaust damper,DB 400DBD 34 z2 energy,T 174,MD 284 C ana kw,MD 70 sinolo ypog-mpanioy,is_low_usage,is_low_usage_next,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,Energy
350.0,31.25733333333333,1223.4,0.5333333333333333,5.8,327680.0,100.0,16774.16,1032.6666666666667,483.72,2736.063333333333,0,0.0,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,101.6710000000894
496.6666666666667,28.29866666666667,1215.4666666666667,0.8666666666666667,6.266666666666667,275251.2,100.0,19248.49,1024.6666666666667,305.84,2731.1066666666666,0,0.0,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,153.85399999842048
146.66666666666666,27.054,803.8666666666667,0.8666666666666667,9.6,275251.2,98.66666666666669,24453.65,1036.0,364.94,2726.7793333333334,0,0.0,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,134.81300000101328
0.0,28.497333333333334,1031.1333333333334,0.0,9.133333333333333,314572.8,99.0,19891.34,1040.6666666666667,368.8,2726.7673333333337,0,0.0,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,145.95599999651313
293.3333333333333,27.59733333333333,954.8,1.8,6.6,157286.4,100.0,22821.02,1031.3333333333333,230.77,2725.181333333333,0,0.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,140.812000002712
293.3333333333333,27.672666666666665,1327.3333333333333,0.8666666666666667,15.0,441275.7333333333,99.33333333333331,14161.54,1048.6666666666667,167.01,2726.5226666666663,0,0.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,129.43699999898672
406.6666666666667,27.67933333333333,960.9333333333332,0.0,5.333333333333333,222822.4,100.0,12692.97,1018.6666666666666,78.36,2729.8213333333333,0,0.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,143.14300000295043
0.0,30.672,744.8666666666667,0.0,0.3333333333333333,0.0,99.0,0.0,1010.0,68.1,2744.06,0,0.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,104.36499999836089
146.66666666666666,34.70733333333333,1205.0,0.0,0.0,0.0,95.0,0.0,1010.0,68.1,2771.2926666666667,0,0.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,37.66200000047684
366.6666666666667,34.406666666666666,1205.0,0.0,0.0,0.0,98.33333333333331,16521.93,1026.0,99.58,2762.354,0,0.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,31.199000000953674
0.0,35.467333333333336,728.0666666666667,0.0,0.8,152917.33333333334,100.0,99552.16,1050.0,113.33,2767.142666666666,0,0.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,63.78599999845028
0.0,33.64666666666667,461.53333333333336,0.0666666666666666,0.7333333333333333,144179.2,100.0,81090.98,1044.0,309.82,2763.0133333333333,0,0.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,162.72599999979138
0.0,34.374,671.0666666666667,0.8666666666666667,1.2,214084.26666666663,100.0,66138.27,1036.6666666666667,114.28,2764.1093333333333,0,0.0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,148.04199999943376
0.0,34.98066666666667,331.6666666666667,0.4666666666666667,1.3333333333333333,262144.0,100.0,80224.8,1054.0,108.29,2762.6826666666666,0,0.0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,140.9400000013411
