"Name","State","Notes","User","val_MSE","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/val_loss","epoch/val_mae","epoch/val_mape","val_MAE","val_MASE","val_R2","val_RMSE","val_SMAPE"
"XGBoost-standard-bs0-augFalse--seed42--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","1.0279391942019624","","2025-10-22T07:37:14.000Z","5","h4qpo0f5","0","false","0","","XGBoost","","","","","","","","","false","standard","42","true","","","","","","","","","0.7335069306853161","1.6698423813729275","0.821552178674608","1.0138733620141929","7.816205206001908"
"BiLSTM-standard-bs64-augFalse--seed777--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","5.644475936739171","","2025-10-21T21:10:35.000Z","1464","53e1guso","64","false","0","","BiLSTM","","","","","","","","","false","standard","777","true","21","0.004000000189989805","0.020481113344430923","0.0965467318892479","79.01053619384766","0.007654521614313126","0.06445697695016861","13.66475772857666","1.09802951937031","2.4996849392138873","0.020132281057073875","2.3758105851980647","9.910021130814895"
"BiLSTM-standard-bs64-augFalse--seed2021--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","2.2829448582364416","","2025-10-21T20:40:33.000Z","1799","53e1guso","64","false","0","","BiLSTM","","","","","","","","","false","standard","2021","true","26","0.004000000189989805","0.01885654218494892","0.09657833725214005","82.16017150878906","0.012898340821266174","0.0934910997748375","15.374171257019045","0.8955332700871239","2.038698403195475","0.6036861533676878","1.510941712388814","8.757622855350542"
"BiLSTM-standard-bs64-augFalse--seed1234--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","3.2923159361722583","","2025-10-21T20:16:02.000Z","1466","53e1guso","64","false","0","","BiLSTM","","","","","","","","","false","standard","1234","true","21","0.004000000189989805","0.01850796677172184","0.0951625034213066","78.11003112792969","0.014569706283509731","0.10074309259653091","16.401798248291016","1.222627908654525","2.7833355256960006","0.4284617132622158","1.814474010883666","12.036406713350097"
"BiLSTM-standard-bs64-augFalse--seed4242--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","6.0828368297709785","","2025-10-21T19:51:32.000Z","1468","53e1guso","64","false","0","","BiLSTM","","","","","","","","","false","standard","4242","true","21","0.004000000189989805","0.01960580423474312","0.09872347861528397","82.6874008178711","0.007401523645967245","0.06482134014368057","15.15353012084961","1.5133232251899074","3.4451089041204903","-0.05596613678417661","2.4663407772996373","13.531401208979668"
"BiLSTM-standard-bs64-augFalse--seed42--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","2.2637601737719835","","2025-10-21T19:32:39.000Z","1128","53e1guso","64","false","0","","BiLSTM","","","","","","","","","false","standard","42","true","16","0.004000000189989805","0.019915133714675903","0.09804972261190414","100.34251403808594","0.011812951415777206","0.08664198219776154","14.39748477935791","1.1872447476747758","2.702785091447583","0.6070165693736225","1.5045797332717146","11.572949792981904"
"LSTM-standard-bs64-augFalse--seed777--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","2.2427806927740694","","2025-10-21T19:08:54.000Z","1423","53e1guso","64","false","0","","LSTM","","","","","","","","","false","standard","777","true","34","0.0010000000474974513","0.03376992046833038","0.12281454354524612","103.10680389404295","0.010825514793395996","0.08215924352407455","13.579254150390623","0.8521909340884529","1.9400287566923855","0.6106585578275423","1.497591630844026","8.062744294420266"
"LSTM-standard-bs64-augFalse--seed2021--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","3.7282500734936774","","2025-10-21T18:36:10.000Z","1959","53e1guso","64","false","0","","LSTM","","","","","","","","","false","standard","2021","true","48","0.0010000000474974513","0.03185446187853813","0.12048156559467316","85.8502197265625","0.010215315967798231","0.07985062152147293","13.000944137573242","1.1814732290875434","2.689646120377687","0.35278457449257805","1.9308676996349792","10.616052069928084"
"LSTM-standard-bs64-augFalse--seed1234--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","5.044938547050187","","2025-10-21T18:01:25.000Z","2082","53e1guso","64","false","0","","LSTM","","","","","","","","","false","standard","1234","true","53","0.0010000000474974513","0.02918202616274357","0.11736974865198135","94.7662124633789","0.014640633948147295","0.10204210132360458","15.84375","1.3159579384955948","2.9958031013435966","0.12421055883513854","2.246094064604194","11.795684473327396"
"LSTM-standard-bs64-augFalse--seed4242--fake_data_length0---pinball_loss_usageFalse---testing_stageTrue","finished","-","","6.480547988179742","","2025-10-21T17:20:01.000Z","2479","53e1guso","64","false","0","","LSTM","","","","","","","","","false","standard","4242","true","60","0.0010000000474974513","0.028455739840865135","0.11426885426044464","86.34393310546875","0.008793836459517479","0.07418755441904068","12.451605796813965","1.158728865249401","2.637868146529762","-0.12500785650373605","2.545692045039962","9.799940895251684"
