"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/val_loss","epoch/val_mae","epoch/val_mape","val_MAE","val_MASE","val_MSE","val_R2","val_RMSE","val_SMAPE"
"LSTM-min-max-bs16-augTrue--seed1234--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T06:35:56.000Z","579","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","min-max","1234","true","83","0.0010000000474974513","0.0031262943521142006","0.043104346841573715","837.8297729492188","0.0035972397308796644","0.04686568304896355","6.519138813018799","12.140408490999388","0.5646773537232344","248.81041587084837","0.9273045019871796","15.773725491171968","19.672118289713396"
"LSTM-min-max-bs16-augTrue--seed2021--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T06:31:06.000Z","286","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","min-max","2021","true","40","0.0010000000474974513","0.004906871356070042","0.05323166772723198","6970.61962890625","0.004396630916744471","0.052297767251729965","9.469258308410645","12.802990213719877","0.5954955007475762","296.2780319287094","0.913435781995173","17.212728776365164","19.104140793732977"
"LSTM-min-max-bs16-augTrue--seed777--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T06:16:52.000Z","850","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","min-max","777","true","123","0.0010000000474974513","0.002430213149636984","0.03799024969339371","17839.041015625","0.0034730657935142517","0.04506688937544823","6.9401469230651855","12.218137716202165","0.5682927125661433","260.5253794210708","0.9238817147758618","16.140798599235133","19.42665587924135"
"LSTM-min-max-bs16-augTrue--seed4242--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T06:08:25.000Z","503","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","min-max","4242","true","75","0.0010000000474974513","0.0032466403208673","0.04384836181998253","11752.8359375","0.003427252871915698","0.044596221297979355","7.129277229309082","11.740965185455494","0.5460983587162533","237.87577724279757","0.9304992999134408","15.423222012368154","18.71339954576296"
"LSTM-min-max-bs16-augTrue--seed42--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T06:00:34.000Z","467","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","min-max","42","true","67","0.0010000000474974513","0.0034703908022493124","0.04533083736896515","33701.2890625","0.003076390828937292","0.039429448544979095","5.829398155212402","11.27872559765475","0.524598569197725","224.8922790585332","0.934292717737812","14.99640887207778","17.15436058557758"
"LSTM-standard-bs16-augTrue--seed1234--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T05:53:50.000Z","400","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","standard","1234","true","60","0.0010000000474974513","0.014736511744558811","0.09524283558130264","19.615537643432617","0.024092763662338257","0.0974481925368309","15.54605484008789","10.821690482390526","0.5033408512521279","187.46351728480172","0.9452283631271794","13.691731712416868","17.840433831149156"
"LSTM-standard-bs16-augTrue--seed2021--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T05:46:30.000Z","436","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","standard","2021","true","65","0.0010000000474974513","0.014462641440331936","0.09432914853096008","19.66581153869629","0.026275333017110825","0.10151398926973344","14.700078964233398","10.910580836214434","0.5074753389677612","186.0537327797603","0.945640263032278","13.640151494017958","18.22075885091829"
"LSTM-standard-bs16-augTrue--seed777--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T05:38:43.000Z","461","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","standard","777","true","69","0.0010000000474974513","0.014407414011657238","0.093580923974514","20.7276668548584","0.025619443506002423","0.09704936295747756","13.307147026062012","10.41627517873807","0.48448408535375703","177.59331602363005","0.9481121619973204","13.326414222274124","16.406505764530124"
"LSTM-standard-bs16-augTrue--seed4242--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T05:32:00.000Z","401","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","standard","4242","true","60","0.0010000000474974513","0.015030814334750175","0.0952850878238678","20.616924285888672","0.02863010950386524","0.1050613895058632","14.578482627868652","10.862366806363037","0.5052327973919152","198.038563691243","0.9421386280679204","14.07261751385445","17.413807403945572"
"LSTM-standard-bs16-augTrue--seed42--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T05:25:47.000Z","369","2zie0gy2","16","true","1600","","LSTM","","","","","","","","","false","standard","42","true","55","0.0010000000474974513","0.015546157956123352","0.09792812913656236","19.556989669799805","0.028391176834702492","0.11554156988859177","17.038511276245117","11.090232136444405","0.5158313198132167","198.4840681019465","0.9420084640436788","14.088437390354777","17.491357689365607"
"LSTM-min-max-bs16-augTrue--seed1234--fake_data_length1200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T05:14:49.000Z","656","2zie0gy2","16","true","1200","","LSTM","","","","","","","","","false","min-max","1234","true","113","0.0010000000474974513","0.0027842693962156773","0.04066240042448044","4937.638671875","0.0036137776914983983","0.04680079594254494","7.375265121459961","12.01650974474098","0.5589145479479021","266.95461489999707","0.922003270606447","16.338745817840397","19.052684681956553"
"LSTM-min-max-bs16-augTrue--seed2021--fake_data_length1200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","2025-10-02T05:05:14.000Z","573","2zie0gy2","16","true","1200","","LSTM","","","","","","","","","false","min-max","2021","true","98","0.0010000000474974513","0.002954876283183694","0.04171886667609215","9303.0751953125","0.0033842066768556833","0.04351032525300979","7.0723347663879395","12.164539544165311","0.5657997425830813","259.2645045006631","0.9242501074331791","16.101692597384385","19.119131965722865"
