"Name","state","Notes","User","Tags","Created","Runtime","Sweep","data_augmentation","fake_data_length","model_name","scaler_name","seed","val_MAE","val_MASE","val_MSE","val_R2","val_RMSE","val_SMAPE","Pinball_0.05","Pinball_0.50","Pinball_0.95","Coverage_0.90","Coverage_Error_0.90","Sharpness_0.90","batch_size","testing_stage","pinball_loss_usage"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length800---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","1234","10.596036911010742","","176.83267211914062","0.9483343958854676","13.297844641863607","18.951416015625","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed42--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","42","10.93969440460205","","201.3993682861328","0.9411566853523254","14.191524522972603","20.934200286865234","1.9371074438095093","5.469847202301025","2.03249192237854","0.6568047337278107","-0.2431952662721893","26.07431411743164","16","True","True"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","1234","11.782304763793944","","242.485092163086","0.9291526079177856","15.571932833244752","19.02791976928711","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","4242","10.77145290374756","","204.82115173339844","0.9401569366455078","14.31157404807027","20.08898162841797","2.1340584754943848","5.385726451873779","2.046017646789551","0.6745562130177515","-0.2254437869822485","26.127849578857425","16","True","True"
"TFT-standard-bs16-augTrue--seed777--fake_data_length200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","777","10.343510627746582","","168.82464599609375","0.9506741166114808","12.993253864836696","22.41196060180664","1.2778805494308472","5.171755313873291","1.2546677589416504","0.8165680473372781","-0.0834319526627219","31.564239501953125","16","True","True"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length1200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","1234","11.139238357543944","","209.4901580810547","0.9387927651405334","14.473774838688582","19.741531372070312","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","1234","11.035869598388672","","202.32327270507807","0.9408867359161376","14.22403855116676","18.989511489868164","1.5850530862808228","5.517934799194336","1.5687185525894165","0.7869822485207101","-0.1130177514792899","37.27146911621094","16","True","True"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","2021","9.658804893493652","","154.90342712402344","0.9547415375709534","12.446020533649438","16.07706069946289","1.7043482065200806","4.829402446746826","1.91877543926239","0.6153846153846154","-0.2846153846153846","22.34740257263184","16","True","True"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","2021","11.77967357635498","","212.22360229492188","0.937994122505188","14.567896289269836","32.09834671020508","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed777--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","777","12.379467964172363","","261.78253173828125","0.9235144257545472","16.179695044662655","25.01933860778809","1.8940249681472776","6.189733982086182","2.7974116802215576","0.6449704142011834","-0.2550295857988166","29.566469192504883","16","True","True"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length400---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","1234","11.367151260375977","","193.7910919189453","0.9433796405792236","13.920886894122274","22.64358711242676","1.3414605855941772","5.683575630187988","1.2598669528961182","0.8106508875739645","-0.0893491124260354","36.96393585205078","16","True","True"
"TFT-standard-bs16-augTrue--seed42--fake_data_length200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","42","10.093301773071287","","163.0782012939453","0.952353060245514","12.770207566595984","17.70572853088379","1.1108061075210571","5.0466508865356445","1.4945241212844849","0.8402366863905325","-0.0597633136094675","36.3183708190918","16","True","True"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","2021","10.137042999267578","","172.7222137451172","0.9495353698730468","13.142382346634006","17.67662239074707","1.610368728637695","5.068521499633789","1.590356945991516","0.7159763313609467","-0.1840236686390532","27.445358276367188","16","True","True"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","1234","11.082990646362305","","203.7729949951172","0.9404631853103638","14.274907880442424","23.21096420288086","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","4242","12.831831932067873","","259.4804992675781","0.9241870045661926","16.10839840789823","24.708635330200195","2.261228561401367","6.415915966033936","3.0628821849823","0.5443786982248521","-0.3556213017751479","22.38339614868164","16","True","True"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length800---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","1234","12.134557723999023","","258.1784973144531","0.9245674014091492","16.06793382219547","20.95597267150879","2.791018009185791","6.067278861999512","2.411909580230713","0.5562130177514792","-0.3437869822485208","21.00584602355957","16","True","True"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","2021","11.61206340789795","","238.0131072998047","0.9304591417312622","15.42767342471977","22.238544464111328","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","4242","11.048680305480955","","216.17051696777344","0.9368409514427184","14.70273841730762","19.382701873779297","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed777--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","777","11.424982070922852","","218.33534240722656","0.9362084865570068","14.776174823249304","20.476224899291992","1.8327713012695312","5.712491035461426","1.8137441873550413","0.6863905325443787","-0.2136094674556213","29.24176597595215","16","True","True"
"TFT-standard-bs16-augTrue--seed42--fake_data_length400---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","42","11.65757179260254","","210.90109252929688","0.9383805394172668","14.52243411172166","20.655479431152344","1.6046382188796997","5.8287858963012695","1.331371545791626","0.8402366863905325","-0.0597633136094675","38.59846115112305","16","True","True"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length400---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","2021","12.084640502929688","","239.4729156494141","0.9300326704978944","15.4749124601535","31.4061222076416","1.528838872909546","6.042320251464844","1.8455872535705569","0.8579881656804734","-0.0420118343195266","53.223915100097656","16","True","True"
"TFT-standard-bs16-augTrue--seed42--fake_data_length200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","42","10.928030014038086","","209.79327392578125","0.938704252243042","14.4842422627413","18.042137145996094","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed42--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","42","11.036654472351074","","198.1265411376953","0.942112922668457","14.075743004818442","20.5965576171875","1.6780202388763428","5.518327236175537","2.400808334350586","0.6331360946745562","-0.2668639053254438","24.78388214111328","16","True","True"
"TFT-standard-bs16-augTrue--seed42--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","42","10.11451816558838","","162.76959228515625","0.9524432420730592","12.7581186812616","18.96985244750977","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed777--fake_data_length400---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","777","10.776305198669434","","185.4995880126953","0.9458021521568298","13.619823347338077","26.042404174804688","1.2888320684432983","5.388152599334717","1.9375768899917605","0.7869822485207101","-0.1130177514792899","35.78561782836914","16","True","True"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","1234","10.28085231781006","","180.4881591796875","0.9472663402557372","13.434588165615182","17.183534622192383","1.3974436521530151","5.140426158905029","1.7688738107681274","0.6804733727810651","-0.2195266272189349","27.59317207336425","16","True","True"
"TFT-standard-bs16-augTrue--seed777--fake_data_length1200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","777","11.113094329833984","","208.06475830078125","0.9392092227935792","14.424450017272106","18.44109344482422","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed42--fake_data_length800---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","42","11.450590133666992","","206.69891357421875","0.9396083354949952","14.377027285715874","23.12031936645508","1.7352392673492432","5.725295066833496","1.4080395698547363","0.7928994082840237","-0.1071005917159763","34.73077774047852","16","True","True"
"TFT-standard-bs16-augTrue--seed42--fake_data_length800---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","42","10.70386791229248","","185.64093017578125","0.9457608461380004","13.625011199106636","19.17522048950196","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length800---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","4242","12.94980239868164","","265.6750793457031","0.922377109527588","16.29954230479197","23.11254501342773","","","","","","","16","True","False"
