DB 10DBW 14 BACKWARD PRESS,DB 13DBW 2,DB 30DBW 20 ramposition,DB 30DBW 42 mand in ram,DB 30DBW 80 v cont position,DB 371DBW 44 setpoint pump,MW 970,DB 10DBW 232,DB 10DBW 8 billet length,DB 400DBD 34 z2 energy,MD 280 C start to setpoint,MD 284 C ana kw,T 174,C 23,C 26,DB 20DBD 450 BILLET LENGHT,MW 90,Setpoint Bypass,T 32 E.G.F. Build up speed time,C 25,DB 10DBW 178 CAF Actual Temperature Combustion air fan,DB 10DBW 182 EGS_Temperature,DB 20DBW 174 EXTRACTION STEP,Setpoint position exhaust damper,DB 200DBW 0 tank1 temp,DB 200DBW 2 tank2 temp,DB 200DBW 4 tank1 level,DB 200DBW 8 actual press,DB 20DBD 292,T 227,DB 70DBD 0 ΘΕΡΜ ΚΟΛΕΚΤΕΡ ΨΥΓΕΙΩΝ (ΝΕΡΟ ΑΠΟ ΠΥΡΓΟΥΣ ΨΥΞ),DB 70DBD 16 PIESI PSIXIS ASMAK,DB 70DBD 4 ΘΕΡΜ ΚΟΛΕΚΤΕΡ ΨΥΓΕΙΩΝ (ΝΕΡΟ ΑΠΟ ΔΕΞΑΜΕΝΗ),DB 70DBD 68 4 INCH COOLING ACT POSITION,DB 70DBW 36 REF KANONI 1,DB 70DBW 38 REF KANONI 2,DB 75DBD 28,MD 210,MD 222,MD 70 sinolo ypog-mpanioy,T 0,C 21_Junker2,C 22_Junker2,C 24_Junker2,C 26_Junker2,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,day_sin,day_cos,Energy
6.066666666666666,-34.333333333333336,1100.2666666666669,247.6,28.33333333333333,843.4666666666667,16.266666666666666,259.7333333333333,810.0,37838.89,110.73333333333332,246.61,1044.6666666666667,6.0,4.0,793.6666666666666,4000.0,10.666666666666666,17600.0,1.0,275.00308841485275,69.66666666666667,1.2,100.0,24.666666666666668,31.466666666666665,2025.1333333333328,5.8,275251.2,5766.666666666667,23.563333333333333,0.1586666666666666,24.67533333333333,1.5160000000000002,69.4,0.0,0.0,238.0,8.85620666666667e-44,2796.2586666666666,0.0,6.066666666666666,7.0,6.0,2.0,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,163.77500000223517
3.533333333333333,1402.6,1070.8,270.6,23.53333333333333,924.8666666666668,15.333333333333334,307.3333333333333,810.0,24279.29,106.0,304.23,1040.6666666666667,6.0,4.0,795.4666666666667,2933.333333333333,32.666666666666664,17600.0,1.0,-28.28535516770843,74.53333333333333,0.6,100.0,25.0,31.4,1990.8,20.8,380108.8,6240.0,20.229333333333333,0.1586666666666666,23.872,1.512,69.66666666666667,0.0,0.0,421.3333333333333,9.108426666666666e-44,2790.9666666666667,0.0,6.0,7.0,6.0,2.0,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,159.41200000047684
11.866666666666667,-79.66666666666667,1374.3333333333333,286.4,32.4,891.0,15.266666666666667,317.46666666666664,810.0,27882.48,102.33333333333331,331.55,1031.3333333333333,6.0,4.0,795.6666666666666,4435.733333333334,30.0,17600.0,1.0,4.035995594818803,75.2,1.2,100.0,25.53333333333333,31.933333333333334,2043.733333333333,20.133333333333333,297096.5333333333,2933.333333333333,20.788,0.1566666666666666,23.282,1.52,69.46666666666667,0.0,0.0,316.6666666666667,8.921606666666665e-44,2786.6173333333336,0.0,6.0,7.0,6.0,2.0,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,184.8159999996424
7.133333333333334,350.7333333333333,1313.3333333333333,203.0,26.2,782.7333333333333,15.6,339.8666666666667,810.0,29691.83,99.66666666666669,348.12,1024.0,6.0,4.0,795.3333333333334,5938.133333333333,26.666666666666668,17600.0,1.0,17.23518638224488,79.4,1.1333333333333333,100.0,25.933333333333334,32.0,2214.733333333333,5.933333333333334,288358.4,6106.666666666667,21.470666666666663,0.1553333333333333,23.128,1.512,69.4,0.0,0.0,124.0,8.846879999999999e-44,2782.610666666667,0.0,6.0,7.0,6.0,2.0,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,185.3019999973476
6.8,-570.8,924.5333333333332,133.0,15.733333333333333,866.0666666666667,14.933333333333334,105.66666666666669,810.0,56034.44,115.0,165.18,1036.0,6.0,4.0,795.0,5902.4,25.33333333333333,17600.0,1.0,110.30011491776165,78.26666666666667,1.1333333333333333,100.0,25.0,31.866666666666667,2205.733333333333,5.8,200977.06666666668,3673.3333333333335,21.99,0.4539999999999999,27.063333333333333,1.508,69.26666666666667,0.0,0.0,26.666666666666668,8.912253333333333e-44,2781.364666666667,0.0,6.0,7.0,6.0,2.0,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,168.2390000000596
0.7333333333333333,-235.0,965.6,79.13333333333334,6.0,977.7333333333332,15.0,168.73333333333332,810.0,43909.37,115.33333333333331,157.58,1016.0,6.0,4.0,793.0,0.0,37.333333333333336,17600.0,1.0,-272.436962819316,74.46666666666667,0.6,92.66666666666669,24.0,29.933333333333334,2287.8,6.133333333333334,135441.06666666668,1093.3333333333333,22.69,0.1573333333333333,27.497333333333334,1.508,69.13333333333334,0.0,0.0,54.0,8.874886666666666e-44,2778.568,0.0,6.0,7.0,6.0,2.0,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,116.6900000013411
1.7333333333333334,1287.5333333333333,637.0666666666667,175.13333333333333,9.866666666666667,948.6666666666666,15.666666666666666,215.0,810.0,28103.04,100.26666666666668,213.77,1048.0,6.0,4.0,793.2,1466.6666666666667,25.33333333333333,17600.0,1.0,105.29564988388486,72.53333333333333,0.6666666666666666,98.33333333333331,24.0,30.266666666666666,2293.866666666667,6.2,205346.13333333333,2500.0,22.46333333333333,0.158,26.544666666666668,1.508,69.4,0.0,0.0,200.66666666666663,9.08976e-44,2769.339333333333,0.0,6.0,7.0,6.0,2.0,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,124.4320000000298
6.4,-381.9333333333333,1343.0666666666666,211.8,27.8,767.2,15.4,302.46666666666664,810.0,31506.57,101.86666666666666,332.01,1062.0,6.0,4.0,795.2,2969.0666666666666,22.666666666666668,17600.0,1.0,28.415786827551223,76.06666666666666,1.1333333333333333,100.0,25.0,32.46666666666667,2248.733333333333,20.066666666666663,270882.13333333336,3866.6666666666665,22.280666666666665,0.1566666666666666,25.974,1.5,69.6,0.0,0.0,257.3333333333333,8.893586666666666e-44,2763.7253333333333,0.0,6.0,7.0,6.0,2.0,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,166.79700000211596
4.0,-497.6,1059.0,138.86666666666667,15.466666666666669,853.1333333333333,15.4,278.6666666666667,810.0,39010.87,104.73333333333332,274.4,1017.3333333333334,6.0,4.0,793.9333333333333,4435.733333333334,31.33333333333333,17600.0,1.0,129.4075151428089,76.46666666666667,0.4,100.0,25.2,31.53333333333333,2221.866666666667,5.933333333333334,279620.26666666666,4046.6666666666665,22.258666666666667,0.156,25.582,1.504,69.4,0.0,0.0,190.0,8.790819999999999e-44,2759.8806666666665,0.0,5.933333333333334,7.0,6.0,2.0,0.258819045102521,-0.9659258262890682,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,165.21399999782443
2.4,-6.333333333333333,810.6666666666666,206.26666666666668,28.53333333333333,950.9333333333332,15.733333333333333,169.4,810.0,26464.77,101.93333333333334,225.78,1055.3333333333333,6.0,4.0,793.4,0.0,20.666666666666668,17600.0,1.0,-160.8970408676294,67.86666666666666,1.0,93.66666666666669,26.0,30.466666666666665,2160.133333333333,6.133333333333334,266513.06666666665,7466.666666666667,22.530666666666665,0.1546666666666666,25.028666666666663,1.5,69.33333333333333,0.0,0.0,173.33333333333334,8.846873333333333e-44,2754.1853333333333,0.0,5.0,7.0,6.0,2.0,0.258819045102521,-0.9659258262890682,0.4338837391175582,-0.900968867902419,0.9377521321470804,0.3473052528448203,148.79399999976158
